201777Hands Down,2.875,16,34,-6,-8.526315789,-1.2,#N/A,0,0
201777Greek Oasis,4.625,9,51,-6,2.473684211,-1.09,#N/A,0,0
201777Whosegottheshekles,4.8,15,67,-6,-5.526315789,-0.9,#N/A,0,0
201753Born To Sire,3.625,4,4.5,-5,2,0,10,0,0
201753Seaforth,4.25,5,4.5,0,5,-0.78,10,0,0
201753Anniemation,3.5,7,5,-5,2,0,10,0,0
201753Irish Times,3.875,2,7,-3,3,-0.8,11,0,2
201753Street Poet,2.125,1,9,-1,1,-0.1,6,0,0
201753Al Ozzdi,4.75,10,9,-3,3,-0.8,11,0,0
201753Purple Paddy,6.25,8,12,-3,-3,-0.5,#N/A,0,0
201753Treaty Of Dingle,3.875,3,17,-5,3,-0.8,23,5,0
201753Bummble Berry,7.666666667,6,17,-5,-5,-0.7,7,0,0
201753Miss Sligo,4.6,11,21,-5,-1,-0.3,10,0,0
201753Lets Go Lucky,5.25,9,29,-5,2,0,0,0,0
201753Mrs Tiffen,3,12,201,-5,-6,-0.8,4,0,0
201757Muftakker,3.25,5,3.25,-2,5.636363636,0,0,0,2
201757Athabasca,3.2,4,4,-5,0.6363636364,-0.6,23,5,0
201757Feldspar,6.428571429,11,6.5,-5,1.636363636,-0.5,13,5,0
201757Hammy End,3.25,3,11,-4,0.6363636364,-0.5,#N/A,0,0
